_key,productKey,quantity,sellingPrice,discountPrice,offerPrice,availabilityQuantity
160177,2,0,3.64,0.62,3.02,0
160178,3,0,3.48,0.63,2.85,0
160179,5,0,3.34,0,3.34,0
160180,6,0,3.88,1.05,2.83,0
160181,11,0,4.21,1.22,2.99,0
160182,12,0,3.93,0.79,3.14,0
160183,13,0,4.79,0,4.79,0
160184,14,0,3.05,0.15,2.89,0
160185,15,0,5.73,1.72,4.01,0
160186,16,0,3.78,1.02,2.76,0
160187,17,0,3.82,0.54,3.29,0
160188,18,0,3.45,0.97,2.49,0
160189,19,0,5.29,0.37,4.92,0
160190,20,0,3.08,0.59,2.49,0
160191,21,0,3.33,0.3,3.03,0
160192,22,0,3.79,0,3.79,0
160193,24,0,3.76,0.45,3.31,0
160194,25,0,3.99,0.28,3.71,0
160195,26,0,3.4,0.31,3.09,0
160196,27,0,3.59,0.75,2.84,0
160197,28,0,5.99,0,5.99,0
160198,30,0,3.44,0,3.44,0
160199,33,0,3.4,0.54,2.86,0
160200,35,0,3.08,0,3.08,0
160201,38,0,3.28,0,3.28,0
160202,55,0,3.21,0.48,2.73,0
160203,58,0,3.82,0.38,3.44,0
160204,59,0,3.86,0.27,3.59,0
160205,62,0,3.12,0,3.12,0
160206,63,0,3.04,0,3.04,0
160207,64,0,3.9,0,3.9,0
160208,65,0,3.28,0,3.28,0
160209,66,0,3.78,0,3.78,0
160210,67,0,3.55,0,3.55,0
160211,68,0,3.44,0,3.44,0
160212,69,0,3.57,0.93,2.64,0
160213,70,0,3.44,0.48,2.96,0
160214,71,0,3.67,0,3.67,0
160215,73,0,5.14,0,5.14,0
160216,74,0,3.77,0,3.77,0
160217,75,0,3.81,0,3.81,0
160218,76,0,3.55,0.75,2.81,0
160219,77,0,4.22,0.93,3.29,0
160220,78,0,3.45,0,3.45,0
160221,79,0,3.03,0,3.03,0
160222,80,0,3.37,0,3.37,0
160223,81,0,3.6,0,3.6,0
160224,82,0,3.08,0.65,2.43,0
160225,83,0,3.14,0,3.14,0
160226,85,0,3.57,0,3.57,0
160227,86,0,3.68,0,3.68,0
160228,87,0,3.17,0.35,2.82,0
160229,88,0,3.89,0,3.89,0
160230,89,0,3.43,0,3.43,0
160231,90,0,3.91,0,3.91,0
160232,91,0,3.72,0,3.72,0
160233,92,0,3.97,0,3.97,0
160234,93,0,3.42,0,3.42,0
160235,95,0,3.64,0,3.64,0
160236,96,0,3.67,0,3.67,0
160237,97,0,3.13,0.59,2.53,0
160238,98,0,3.45,1.04,2.42,0
160239,99,0,3.75,0.38,3.38,0
160240,100,0,3.87,0.27,3.6,0
160241,101,0,4.77,0.53,4.25,0
160242,102,0,3.56,0,3.56,0
160243,103,0,5.11,0.51,4.6,0
160244,104,0,3.69,0,3.69,0
160245,105,0,5.77,0,5.77,0
160246,106,0,3.1,0,3.1,0
160247,107,0,3.06,0.43,2.63,0
160248,108,0,3.03,0,3.03,0
160249,109,0,3.61,0.32,3.28,0
160250,110,0,3.8,0,3.8,0
160251,111,0,5.61,0,5.61,0
160252,112,0,3,0.3,2.7,0
160253,113,0,3.04,0.4,2.65,0
160254,114,0,3.7,0.67,3.03,0
160255,115,0,3.3,0.99,2.31,0
160256,116,0,3.98,0,3.98,0
160257,117,0,3.87,0,3.87,0
160258,118,0,3.71,0.45,3.26,0
160259,120,0,4.02,1.01,3.02,0
160260,121,0,4.19,0.29,3.9,0
160261,122,0,5.29,0,5.29,0
160262,123,0,3.07,0,3.07,0
160263,124,0,3.85,0,3.85,0
160264,127,0,3.77,0,3.77,0
160265,128,0,4.6,0,4.6,0
160266,129,0,5.59,0,5.59,0
160267,132,0,3.14,0,3.14,0
160268,133,0,3.39,0,3.39,0
160269,134,0,3.55,0,3.55,0
160270,135,0,3.44,0,3.44,0
160271,136,0,3.23,0.61,2.62,0
160272,137,0,3.73,0.37,3.36,0
160273,138,0,3.66,0.95,2.71,0
160274,139,0,3.98,0.32,3.66,0
160275,140,0,3.48,0,3.48,0
160276,141,0,3.77,0.79,2.98,0
160277,142,0,3.22,0,3.22,0
160278,143,0,3.31,0,3.31,0
160279,144,0,3.21,0,3.21,0
160280,145,0,3.28,0.92,2.36,0
160281,146,0,3.87,1.12,2.75,0
160282,147,0,4.48,0.31,4.17,0
160283,148,0,3.44,0.69,2.76,0
160284,149,0,3.69,0,3.69,0
160285,150,0,3.24,0,3.24,0
160286,152,0,3.79,0.27,3.53,0
160287,153,0,3.15,0.91,2.24,0
160288,154,0,3.43,0,3.43,0
160289,155,0,4.13,0,4.13,0
160290,156,0,3.46,0.35,3.11,0
160291,157,0,3.13,0,3.13,0
160292,158,0,3.19,0,3.19,0
160293,159,0,3.65,0.47,3.18,0
160294,160,0,3.17,0,3.17,0
160295,161,0,3.56,0.75,2.81,0
160296,162,0,3.01,0,3.01,0
160297,163,0,3.36,0.44,2.92,0
160298,164,0,3.85,0,3.85,0
160299,165,0,3.94,0,3.94,0
160300,166,0,3.79,1.1,2.69,0
160301,167,0,3.74,0,3.74,0
160302,168,0,3.2,0,3.2,0
160303,169,0,3.77,0,3.77,0
160304,170,0,3.01,0.3,2.71,0
160305,171,0,3.76,0,3.76,0
160306,172,0,3.53,0.95,2.58,0
160307,173,0,3.46,1.04,2.42,0
160308,174,0,3.84,0,3.84,0
160309,175,0,3.12,0,3.12,0
160310,176,0,3.53,0,3.53,0
160311,177,0,3.53,0,3.53,0
160312,178,0,3.35,0,3.35,0
160313,179,0,3.86,0.46,3.4,0
160314,180,0,3.16,0,3.16,0
160315,182,0,3.81,0.53,3.28,0
160316,183,0,3.29,0,3.29,0
160317,184,0,3.77,0.72,3.05,0
160318,185,0,5.39,0,5.39,0
160319,186,0,3.44,0.55,2.89,0
160320,187,0,3.13,0.6,2.54,0
160321,189,0,3.3,0.46,2.84,0
160322,192,0,3.87,0,3.87,0
160323,193,0,3.15,0,3.15,0
160324,194,0,3.07,0.49,2.58,0
160325,195,0,3.95,0,3.95,0
160326,196,0,3.8,0,3.8,0
160327,197,0,3.86,0,3.86,0
160328,198,0,3.58,0.32,3.26,0
160329,199,0,3.98,0.44,3.54,0
160330,200,0,3.22,0.71,2.51,0
160331,201,0,3.99,0.4,3.59,0
160332,203,0,3.57,0.93,2.64,0
160333,204,0,3.19,0.26,2.94,0
160334,205,0,3.97,0,3.97,0
160335,206,0,3.69,0,3.69,0
160336,207,0,4.02,0.2,3.82,0
160337,211,0,3.46,0.9,2.56,0
160338,212,0,3.38,0,3.38,0
160339,213,0,3.19,0.45,2.74,0
160340,214,0,3.19,0,3.19,0
160341,215,0,3.26,0.59,2.67,0
160342,216,0,3.09,0,3.09,0
160343,217,0,3.36,0,3.36,0
160344,218,0,3.89,1.01,2.88,0
160345,219,0,3.46,0.59,2.87,0
160346,220,0,3.12,0,3.12,0
160347,221,0,3.98,1.07,2.91,0
160348,222,0,4.34,0,4.34,0
160349,223,0,3.56,0,3.56,0
160350,224,0,3.62,0,3.62,0
160351,225,0,3.78,0.83,2.95,0
160352,226,0,3.29,0,3.29,0
160353,227,0,3.72,1.04,2.68,0
160354,228,0,3.94,0,3.94,0
160355,229,0,3.17,0.67,2.51,0
160356,231,0,3.35,0,3.35,0
160357,232,0,3.37,0.47,2.9,0
160358,233,0,3.93,0,3.93,0
160359,234,0,3.08,0.77,2.31,0
160360,235,0,3.81,0.61,3.2,0
160361,236,0,3.07,0.92,2.15,0
160362,237,0,3.31,0,3.31,0
160363,238,0,4.48,0,4.48,0
160364,239,0,4.88,0,4.88,0
160365,240,0,5.39,1.35,4.04,0
160366,241,0,3.94,0,3.94,0
160367,242,0,3.85,0.92,2.93,0
160368,243,0,3.6,0.72,2.88,0
160369,244,0,3.08,0,3.08,0
160370,245,0,3.22,0,3.22,0
160371,246,0,3.61,0.61,3,0
160372,247,0,3.47,0,3.47,0
160373,248,0,3.87,0.7,3.17,0
160374,249,0,3.34,0.63,2.71,0
160375,250,0,3.17,0.82,2.35,0
160376,251,0,3.65,0.69,2.96,0
160377,252,0,3.48,0,3.48,0
160378,253,0,3.09,0.9,2.19,0
160379,254,0,3.13,0.78,2.35,0
160380,255,0,3.48,0,3.48,0
160381,256,0,3.73,0,3.73,0
160382,257,0,3.46,0,3.46,0
160383,258,0,3.05,0.55,2.5,0
160384,259,0,3.12,0.69,2.44,0
160385,260,0,3.72,0.48,3.24,0
160386,261,0,3.18,0,3.18,0
160387,262,0,3.65,0.29,3.36,0
160388,265,0,3.93,0.94,2.98,0
160389,266,0,3.72,0,3.72,0
160390,267,0,3.06,0,3.06,0
160391,268,0,3.07,0,3.07,0
160392,269,0,3.65,1.09,2.55,0
160393,271,0,3.45,0,3.45,0
160394,272,0,3.38,0.81,2.57,0
160395,273,0,3.33,0.3,3.03,0
160396,274,0,5.23,0,5.23,0
160397,275,0,3.52,0.67,2.85,0
160398,276,0,3.74,0,3.74,0
160399,277,0,3.08,0.68,2.41,0
160400,278,0,4.04,1.09,2.95,0
160401,279,0,3.39,0,3.39,0
160402,280,0,3.78,0.23,3.55,0
160403,281,0,3.48,0,3.48,0
160404,284,0,5.51,0,5.51,0
160405,285,0,3.36,0,3.36,0
160406,286,0,3.24,0,3.24,0
160407,287,0,3.05,0,3.05,0
160408,288,0,3.64,0.69,2.94,0
160409,289,0,3.47,0.94,2.53,0
160410,290,0,3.03,0,3.03,0
160411,291,0,3.95,0,3.95,0
160412,292,0,3.67,0,3.67,0
160413,293,0,3.5,0,3.5,0
160414,294,0,3.33,0,3.33,0
160415,296,0,3.89,0,3.89,0
160416,297,0,3.22,0,3.22,0
160417,298,0,3.79,0,3.79,0
160418,299,0,3.58,0,3.58,0
160419,300,0,3.89,0.31,3.58,0
160420,301,0,3.12,0.84,2.28,0
160421,302,0,3.38,0,3.38,0
160422,303,0,3.1,0.5,2.6,0
160423,306,0,3.26,0,3.26,0
